id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
28366176,Point Loma private suite with large private deck,4637677,Lissa,,Roseville,32.72607,-117.23626,Entire home/apt,199,2,36,2022-06-12,0.79,1,339,12,
27671099,Room 202 - Hawthorne Historic Inn,147702206,Stephen,,Park West,32.72628,-117.16262,Private room,120,31,3,2022-05-08,0.31,13,321,3,
28383689,Family friendly fabulous private house,96907791,Larisa,,Rancho Penasquitos,32.98145,-117.1237,Entire home/apt,350,3,9,2021-07-18,0.21,1,97,3,
28700867,"Hillcrest Townhome, Separate Entry, Private Patio",4656446,Air Concierge,,North Hills,32.74875,-117.14519,Entire home/apt,446,3,77,2022-06-01,1.74,30,162,21,
27674983,Elegant Apartment by the Beach and Bay,1028043,Jesse,,Mission Bay,32.79101,-117.24022,Entire home/apt,203,2,18,2022-04-30,0.39,40,308,5,
27675137,Paradise On Mission Bay,114838819,Eric,,Mission Bay,32.79172,-117.24419,Entire home/apt,295,3,100,2022-01-02,2.15,23,85,18,
28719536,Casita,206502002,Summer,,Southwest,32.59903,-117.04537,Private room,50,1,152,2022-05-30,3.37,1,357,32,
28392386,Huge Modern Executive Suite W&D-WiFi-Garage-AC!,214354441,Jerome,,City Heights East,32.75181,-117.09758,Entire home/apt,94,30,22,2022-03-17,0.49,2,197,6,
27679888,True Urban Charm in North Park/University Heights,10333951,Jennifer,,North Hills,32.75685,-117.13776,Entire home/apt,135,3,98,2022-04-03,2.24,1,44,16,
28394616,"Fully remodeled beach home near the beach w/bay views, patio, gas grill",88168913,Vacasa California,,Mission Bay,32.78525,-117.25235,Entire home/apt,534,3,19,2022-04-23,0.44,216,355,3,
28723054,Island in the Hills,216660722,Nicole,,Tierrasanta,32.83569,-117.10687,Entire home/apt,459,3,72,2022-06-12,1.65,1,143,14,
27694799,Gorgeous 2Bd Corner Bungalow in Little Italy,85561689,George,,Little Italy,32.72318,-117.1682,Entire home/apt,245,2,208,2022-06-10,4.49,4,102,61,
28732728,Downtown -  Central Apartment - Walk to main spots,9500704,JR & Julie,,Cortez Hill,32.72096,-117.16018,Entire home/apt,250,2,147,2022-06-05,3.27,3,116,52,
28411205,Bay Front Luxury...A MUST SEE!!,64443919,San Diego Sunset,,Mission Bay,32.79207,-117.24546,Entire home/apt,830,3,3,2021-05-24,0.08,27,187,0,
28411509,ISTHMUS VACATION MULTIFAMILY HOME W/ROOF-TOP DECK,64443919,San Diego Sunset,,Mission Bay,32.77255,-117.25182,Entire home/apt,545,3,48,2022-05-08,1.15,27,241,20,
27694826,Room 204 - Hawthorne Historic Inn,147702206,Stephen,,Park West,32.7284,-117.16317,Entire home/apt,120,31,2,2022-04-15,0.65,13,277,2,
28412705,PB Dream HOUSE Steps to Beach Bay ❤️Modern Private,4501445,Diego,,Pacific Beach,32.797089,-117.249474,Entire home/apt,471,2,230,2022-06-08,5.07,7,116,69,
28761825,"Pacific Beach cozy, clean, comfy cottage",215746618,Shawn,,Pacific Beach,32.80107,-117.23049,Entire home/apt,123,15,62,2021-09-22,1.46,21,39,5,
28761855,"Comfy Ocean Beach home, short walk to beach",215746618,Shawn,,Ocean Beach,32.7467,-117.2466,Entire home/apt,173,15,81,2022-04-01,1.83,21,90,6,
27700783,Explore Little Italy from this Gorgeous Mini Villa,85561689,George,,Little Italy,32.72453,-117.16777,Entire home/apt,245,2,167,2022-06-05,3.60,4,131,49,
28762663,Cozy Canyon Studio - Your Private Pad Close To All,31757591,Susan,,West University Heights,32.75533,-117.15727,Entire home/apt,261,30,10,2021-08-31,0.24,1,365,1,
28415714,Standalone Cottage in Prime Pacific Beach,43349223,Evan,,Pacific Beach,32.7989,-117.23501,Entire home/apt,294,1,295,2022-06-10,6.46,59,132,90,
27701226,"La Giardino, a Stylish Mediterranean Bungalow",85561689,George,,Little Italy,32.72369,-117.16712,Entire home/apt,245,2,196,2022-06-08,4.23,4,85,77,
27703406,Victorian Gem on Slope Above Downtown San Diego.,6989346,John,,Grant Hill,32.71175,-117.13915,Entire home/apt,155,3,34,2022-06-08,0.78,13,173,10,
28424587,Be My Guests Near All Main Attractions,122980628,Quy,,West University Heights,32.76075,-117.1601,Entire home/apt,250,30,0,,,2,165,0,
27703558,Pacific Beach 4 Blocks to Ocean Walk to All,28411025,Nina,,Pacific Beach,32.80226,-117.25039,Entire home/apt,120,1,83,2021-12-31,1.83,1,0,11,
28438619,Downtown San Diego Studio sleeps 3,66829189,Yolanda,,East Village,32.7188,-117.15303,Entire home/apt,144,2,3,2018-12-01,0.07,1,0,0,
28772563,Cute 1BR + Loft in A+ Location La Jolla/UCSD/UTC,102607334,Ronit,,University City,32.85594,-117.23088,Entire home/apt,202,3,24,2021-10-06,0.57,2,200,3,
27706115,4 separate central & modern apartments - sleep 24,43349223,Evan,,Old Town,32.74412,-117.18375,Entire home/apt,1331,2,16,2022-01-16,0.37,59,130,5,
28774306,❤️ | Cozy & Cute  |  Prime Downtown Location | ❤️,217042964,Brian,,Cortez Hill,32.72042,-117.15707,Private room,69,1,79,2020-03-09,1.76,1,0,0,
28438921,Private Two Bedroom Ocean Inspired Guest Suite,80334312,Bryan,,Northwest,32.62046,-117.07599,Entire home/apt,129,2,400,2022-06-12,8.75,1,193,117,
27720551,Oasis Ranch (3br/1.5ba) in North Clairemont,23018226,Kevin,,Clairemont Mesa,32.8329,-117.19238,Entire home/apt,184,31,0,,,1,349,0,
28440020,5BR Beach Retreat+Large Patio+AC Sleeps 18+by Sand,263534443,Jesse,,Mission Bay,32.77505,-117.2516,Entire home/apt,1700,1,46,2022-04-10,1.04,30,200,5,
28441044,4BR Ocean Breeze Duplex+Large Patio sleeps 16,263534443,Jesse,,Mission Bay,32.77591,-117.25123,Entire home/apt,1349,1,26,2022-02-06,0.62,30,189,2,
28774764,A Place for  Family; A Place to Relax,87137818,Steve & Lois,,Encanto,32.72544,-117.05697,Entire home/apt,535,2,26,2022-06-05,0.72,1,113,15,
